terms,titles,abstracts
['stat.ML'],Fast Global Convergence of Natural Policy Gradient Methods with Entropy Regularization,"Natural policy gradient (NPG) methods are among the most widely used policy
optimization algorithms in contemporary reinforcement learning. This class of
methods is often applied in conjunction with entropy regularization -- an
algorithmic scheme that encourages exploration -- and is closely related to
soft policy iteration and trust region policy optimization. Despite the
empirical success, the theoretical underpinnings for NPG methods remain limited
even for the tabular setting. This paper develops $\textit{non-asymptotic}$
convergence guarantees for entropy-regularized NPG methods under softmax
parameterization, focusing on discounted Markov decision processes (MDPs).
Assuming access to exact policy evaluation, we demonstrate that the algorithm
converges linearly -- or even quadratically once it enters a local region
around the optimal policy -- when computing optimal value functions of the
regularized MDP. Moreover, the algorithm is provably stable vis-\`a-vis
inexactness of policy evaluation. Our convergence results accommodate a wide
range of learning rates, and shed light upon the role of entropy regularization
in enabling fast convergence."
['stat.ML'],Uncertainty in Gradient Boosting via Ensembles,"For many practical, high-risk applications, it is essential to quantify
uncertainty in a model's predictions to avoid costly mistakes. While predictive
uncertainty is widely studied for neural networks, the topic seems to be
under-explored for models based on gradient boosting. However, gradient
boosting often achieves state-of-the-art results on tabular data. This work
examines a probabilistic ensemble-based framework for deriving uncertainty
estimates in the predictions of gradient boosting classification and regression
models. We conducted experiments on a range of synthetic and real datasets and
investigated the applicability of ensemble approaches to gradient boosting
models that are themselves ensembles of decision trees. Our analysis shows that
ensembles of gradient boosting models successfully detect anomalous inputs
while having limited ability to improve the predicted total uncertainty.
Importantly, we also propose a concept of a virtual ensemble to get the
benefits of an ensemble via only one gradient boosting model, which
significantly reduces complexity."
['stat.ML'],Holdout-Based Fidelity and Privacy Assessment of Mixed-Type Synthetic Data,"AI-based data synthesis has seen rapid progress over the last several years,
and is increasingly recognized for its promise to enable privacy-respecting
high-fidelity data sharing. However, adequately evaluating the quality of
generated synthetic datasets is still an open challenge. We introduce and
demonstrate a holdout-based empirical assessment framework for quantifying the
fidelity as well as the privacy risk of synthetic data solutions for mixed-type
tabular data. Measuring fidelity is based on statistical distances of
lower-dimensional marginal distributions, which provide a model-free and
easy-to-communicate empirical metric for the representativeness of a synthetic
dataset. Privacy risk is assessed by calculating the individual-level distances
to closest record with respect to the training data. By showing that the
synthetic samples are just as close to the training as to the holdout data, we
yield strong evidence that the synthesizer indeed learned to generalize
patterns and is independent of individual training records. We demonstrate the
presented framework for seven distinct synthetic data solutions across four
mixed-type datasets and compare these to more traditional statistical
disclosure techniques. The results highlight the need to systematically assess
the fidelity just as well as the privacy of these emerging class of synthetic
data generators."
['stat.ML'],Individually Fair Gradient Boosting,"We consider the task of enforcing individual fairness in gradient boosting.
Gradient boosting is a popular method for machine learning from tabular data,
which arise often in applications where algorithmic fairness is a concern. At a
high level, our approach is a functional gradient descent on a
(distributionally) robust loss function that encodes our intuition of
algorithmic fairness for the ML task at hand. Unlike prior approaches to
individual fairness that only work with smooth ML models, our approach also
works with non-smooth models such as decision trees. We show that our algorithm
converges globally and generalizes. We also demonstrate the efficacy of our
algorithm on three ML problems susceptible to algorithmic bias."
['stat.ML'],Logical Team Q-learning: An approach towards factored policies in cooperative MARL,"We address the challenge of learning factored policies in cooperative MARL
scenarios. In particular, we consider the situation in which a team of agents
collaborates to optimize a common cost. The goal is to obtain factored policies
that determine the individual behavior of each agent so that the resulting
joint policy is optimal. The main contribution of this work is the introduction
of Logical Team Q-learning (LTQL). LTQL does not rely on assumptions about the
environment and hence is generally applicable to any collaborative MARL
scenario. We derive LTQL as a stochastic approximation to a dynamic programming
method we introduce in this work. We conclude the paper by providing
experiments (both in the tabular and deep settings) that illustrate the claims."
['stat.ML'],Nearly Horizon-Free Offline Reinforcement Learning,"We revisit offline reinforcement learning on episodic time-homogeneous
tabular Markov Decision Processes with $S$ states, $A$ actions and planning
horizon $H$. Given the collected $N$ episodes data with minimum cumulative
reaching probability $d_m$, we obtain the first set of nearly $H$-free sample
complexity bounds for evaluation and planning using the empirical MDPs: 1.For
the offline evaluation, we obtain an $\tilde{O}\left(\sqrt{\frac{1}{Nd_m}}
\right)$ error rate, which matches the lower bound and does not have additional
dependency on $\poly\left(S,A\right)$ in higher-order term, that is different
from previous works~\citep{yin2020near,yin2020asymptotically}. 2.For the
offline policy optimization, we obtain an $\tilde{O}\left(\sqrt{\frac{1}{Nd_m}}
+ \frac{S}{Nd_m}\right)$ error rate, improving upon the best known result by
\cite{cui2020plug}, which has additional $H$ and $S$ factors in the main term.
Furthermore, this bound approaches the
$\Omega\left(\sqrt{\frac{1}{Nd_m}}\right)$ lower bound up to logarithmic
factors and a high-order term. To the best of our knowledge, these are the
first set of nearly horizon-free bounds in offline reinforcement learning."
['stat.ML'],i-Mix: A Domain-Agnostic Strategy for Contrastive Representation Learning,"Contrastive representation learning has shown to be effective to learn
representations from unlabeled data. However, much progress has been made in
vision domains relying on data augmentations carefully designed using domain
knowledge. In this work, we propose i-Mix, a simple yet effective
domain-agnostic regularization strategy for improving contrastive
representation learning. We cast contrastive learning as training a
non-parametric classifier by assigning a unique virtual class to each data in a
batch. Then, data instances are mixed in both the input and virtual label
spaces, providing more augmented data during training. In experiments, we
demonstrate that i-Mix consistently improves the quality of learned
representations across domains, including image, speech, and tabular data.
Furthermore, we confirm its regularization effect via extensive ablation
studies across model and dataset sizes. The code is available at
https://github.com/kibok90/imix."
['stat.ML'],Fair Mixup: Fairness via Interpolation,"Training classifiers under fairness constraints such as group fairness,
regularizes the disparities of predictions between the groups. Nevertheless,
even though the constraints are satisfied during training, they might not
generalize at evaluation time. To improve the generalizability of fair
classifiers, we propose fair mixup, a new data augmentation strategy for
imposing the fairness constraint. In particular, we show that fairness can be
achieved by regularizing the models on paths of interpolated samples between
the groups. We use mixup, a powerful data augmentation strategy to generate
these interpolates. We analyze fair mixup and empirically show that it ensures
a better generalization for both accuracy and fairness measurement in tabular,
vision, and language benchmarks."
['stat.ML'],UCB Momentum Q-learning: Correcting the bias without forgetting,"We propose UCBMQ, Upper Confidence Bound Momentum Q-learning, a new algorithm
for reinforcement learning in tabular and possibly stage-dependent, episodic
Markov decision process. UCBMQ is based on Q-learning where we add a momentum
term and rely on the principle of optimism in face of uncertainty to deal with
exploration. Our new technical ingredient of UCBMQ is the use of momentum to
correct the bias that Q-learning suffers while, at the same time, limiting the
impact it has on the second-order term of the regret. For UCBMQ , we are able
to guarantee a regret of at most $O(\sqrt{H^3SAT}+ H^4 S A )$ where $H$ is the
length of an episode, $S$ the number of states, $A$ the number of actions, $T$
the number of episodes and ignoring terms in poly$log(SAHT)$. Notably, UCBMQ is
the first algorithm that simultaneously matches the lower bound of
$\Omega(\sqrt{H^3SAT})$ for large enough $T$ and has a second-order term (with
respect to the horizon $T$) that scales only linearly with the number of states
$S$."
['stat.ML'],Semi-Structured Deep Piecewise Exponential Models,"We propose a versatile framework for survival analysis that combines advanced
concepts from statistics with deep learning. The presented framework is based
on piecewise exponential models and thereby supports various survival tasks,
such as competing risks and multi-state modeling, and further allows for
estimation of time-varying effects and time-varying features. To also include
multiple data sources and higher-order interaction effects into the model, we
embed the model class in a neural network and thereby enable the simultaneous
estimation of both inherently interpretable structured regression inputs as
well as deep neural network components which can potentially process additional
unstructured data sources. A proof of concept is provided by using the
framework to predict Alzheimer's disease progression based on tabular and 3D
point cloud data and applying it to synthetic data."
['stat.ML'],Recreation of the Periodic Table with an Unsupervised Machine Learning Algorithm,"In 1869, the first draft of the periodic table was published by Russian
chemist Dmitri Mendeleev. In terms of data science, his achievement can be
viewed as a successful example of feature embedding based on human cognition:
chemical properties of all known elements at that time were compressed onto the
two-dimensional grid system for tabular display. In this study, we seek to
answer the question of whether machine learning can reproduce or recreate the
periodic table by using observed physicochemical properties of the elements. To
achieve this goal, we developed a periodic table generator (PTG). The PTG is an
unsupervised machine learning algorithm based on the generative topographic
mapping (GTM), which can automate the translation of high-dimensional data into
a tabular form with varying layouts on-demand. The PTG autonomously produced
various arrangements of chemical symbols, which organized a two-dimensional
array such as Mendeleev's periodic table or three-dimensional spiral table
according to the underlying periodicity in the given data. We further showed
what the PTG learned from the element data and how the element features, such
as melting point and electronegativity, are compressed to the lower-dimensional
latent spaces."
['stat.ML'],RAB: Provable Robustness Against Backdoor Attacks,"Recent studies have shown that deep neural networks (DNNs) are highly
vulnerable to adversarial attacks, including evasion and backdoor (poisoning)
attacks. On the defense side, there have been intensive interests in both
empirical and provable robustness against evasion attacks; however, provable
robustness against backdoor attacks remains largely unexplored. In this paper,
we focus on certifying robustness against backdoor attacks. To this end, we
first provide a unified framework for robustness certification and show that it
leads to a tight robustness condition for backdoor attacks. We then propose the
first robust training process, RAB, to smooth the trained model and certify its
robustness against backdoor attacks. Moreover, we evaluate the certified
robustness of a family of ""smoothed"" models which are trained in a
differentially private fashion, and show that they achieve better certified
robustness bounds. In addition, we theoretically show that it is possible to
train the robust smoothed models efficiently for simple models such as
K-nearest neighbor classifiers, and we propose an exact smooth-training
algorithm which eliminates the need to sample from a noise distribution.
Empirically, we conduct comprehensive experiments for different machine
learning (ML) models such as DNNs, differentially private DNNs, and K-NN models
on MNIST, CIFAR-10 and ImageNet datasets (focusing on binary classifiers), and
provide the first benchmark for certified robustness against backdoor attacks.
In addition, we evaluate K-NN models on a spambase tabular dataset to
demonstrate the advantages of the proposed exact algorithm. Both the
theoretical analysis and the comprehensive benchmark on diverse ML models and
datasets shed lights on further robust learning strategies against training
time attacks or other general adversarial attacks."
['stat.ML'],Data Preprocessing to Mitigate Bias with Boosted Fair Mollifiers,"In a recent paper, Celis et al. (2020) introduced a new approach to fairness
that corrects the data distribution itself. The approach is computationally
appealing, but its approximation guarantees with respect to the target
distribution can be quite loose as they need to rely on a (typically limited)
number of constraints on data-based aggregated statistics; also resulting in a
fairness guarantee which can be data dependent.
  Our paper makes use of a mathematical object recently introduced in privacy
-- mollifiers of distributions -- and a popular approach to machine learning --
boosting -- to get an approach in the same lineage as Celis et al. but without
the same impediments, including in particular, better guarantees in terms of
accuracy and finer guarantees in terms of fairness. The approach involves
learning the sufficient statistics of an exponential family. When the training
data is tabular, the sufficient statistics can be defined by decision trees
whose interpretability can provide clues on the source of (un)fairness.
Experiments display the quality of the results for simulated and real-world
data."
['stat.ML'],$Q$-learning with Logarithmic Regret,"This paper presents the first non-asymptotic result showing that a model-free
algorithm can achieve a logarithmic cumulative regret for episodic tabular
reinforcement learning if there exists a strictly positive sub-optimality gap
in the optimal $Q$-function. We prove that the optimistic $Q$-learning studied
in [Jin et al. 2018] enjoys a ${\mathcal{O}}\left(\frac{SA\cdot
\mathrm{poly}\left(H\right)}{\Delta_{\min}}\log\left(SAT\right)\right)$
cumulative regret bound, where $S$ is the number of states, $A$ is the number
of actions, $H$ is the planning horizon, $T$ is the total number of steps, and
$\Delta_{\min}$ is the minimum sub-optimality gap. This bound matches the
information theoretical lower bound in terms of $S,A,T$ up to a
$\log\left(SA\right)$ factor. We further extend our analysis to the discounted
setting and obtain a similar logarithmic cumulative regret bound."
['stat.ML'],Nearly Minimax Optimal Reinforcement Learning for Discounted MDPs,"We study the reinforcement learning problem for discounted Markov Decision
Processes (MDPs) under the tabular setting. We propose a model-based algorithm
named UCBVI-$\gamma$, which is based on the \emph{optimism in the face of
uncertainty principle} and the Bernstein-type bonus. We show that
UCBVI-$\gamma$ achieves an $\tilde{O}\big({\sqrt{SAT}}/{(1-\gamma)^{1.5}}\big)$
regret, where $S$ is the number of states, $A$ is the number of actions,
$\gamma$ is the discount factor and $T$ is the number of steps. In addition, we
construct a class of hard MDPs and show that for any algorithm, the expected
regret is at least $\tilde{\Omega}\big({\sqrt{SAT}}/{(1-\gamma)^{1.5}}\big)$.
Our upper bound matches the minimax lower bound up to logarithmic factors,
which suggests that UCBVI-$\gamma$ is nearly minimax optimal for discounted
MDPs."
"['stat.ML', 'stat.TH']",Bootstrapping Statistical Inference for Off-Policy Evaluation,"Bootstrapping provides a flexible and effective approach for assessing the
quality of batch reinforcement learning, yet its theoretical property is less
understood. In this paper, we study the use of bootstrapping in off-policy
evaluation (OPE), and in particular, we focus on the fitted Q-evaluation (FQE)
that is known to be minimax-optimal in the tabular and linear-model cases. We
propose a bootstrapping FQE method for inferring the distribution of the policy
evaluation error and show that this method is asymptotically efficient and
distributionally consistent for off-policy statistical inference. To overcome
the computation limit of bootstrapping, we further adapt a subsampling
procedure that improves the runtime by an order of magnitude. We numerically
evaluate the bootrapping method in classical RL environments for confidence
interval estimation, estimating the variance of off-policy evaluator, and
estimating the correlation between multiple off-policy evaluators."
['stat.ML'],Model Rectification via Unknown Unknowns Extraction from Deployment Samples,"Model deficiency that results from incomplete training data is a form of
structural blindness that leads to costly errors, oftentimes with high
confidence. During the training of classification tasks, underrepresented
class-conditional distributions that a given hypothesis space can recognize
results in a mismatch between the model and the target space. To mitigate the
consequences of this discrepancy, we propose Random Test Sampling and
Cross-Validation (RTSCV) as a general algorithmic framework that aims to
perform a post-training model rectification at deployment time in a supervised
way. RTSCV extracts unknown unknowns (u.u.s), i.e., examples from the
class-conditional distributions that a classifier is oblivious to, and works in
combination with a diverse family of modern prediction models. RTSCV augments
the training set with a sample of the test set (or deployment data) and uses
this redefined class layout to discover u.u.s via cross-validation, without
relying on active learning or budgeted queries to an oracle. We contribute a
theoretical analysis that establishes performance guarantees based on the
design bases of modern classifiers. Our experimental evaluation demonstrates
RTSCV's effectiveness, using 7 benchmark tabular and computer vision datasets,
by reducing a performance gap as large as 41% from the respective
pre-rectification models. Last we show that RTSCV consistently outperforms
state-of-the-art approaches."
"['stat.ML', 'stat.TH']","Finite Sample Analysis of Minimax Offline Reinforcement Learning: Completeness, Fast Rates and First-Order Efficiency","We offer a theoretical characterization of off-policy evaluation (OPE) in
reinforcement learning using function approximation for marginal importance
weights and $q$-functions when these are estimated using recent minimax
methods. Under various combinations of realizability and completeness
assumptions, we show that the minimax approach enables us to achieve a fast
rate of convergence for weights and quality functions, characterized by the
critical inequality \citep{bartlett2005}. Based on this result, we analyze
convergence rates for OPE. In particular, we introduce novel alternative
completeness conditions under which OPE is feasible and we present the first
finite-sample result with first-order efficiency in non-tabular environments,
i.e., having the minimal coefficient in the leading term."
['stat.ML'],Fast Rates for the Regret of Offline Reinforcement Learning,"We study the regret of reinforcement learning from offline data generated by
a fixed behavior policy in an infinite-horizon discounted Markov decision
process (MDP). While existing analyses of common approaches, such as fitted
$Q$-iteration (FQI), suggest a $O(1/\sqrt{n})$ convergence for regret,
empirical behavior exhibits much faster convergence. In this paper, we present
a finer regret analysis that exactly characterizes this phenomenon by providing
fast rates for the regret convergence. First, we show that given any estimate
for the optimal quality function $Q^*$, the regret of the policy it defines
converges at a rate given by the exponentiation of the $Q^*$-estimate's
pointwise convergence rate, thus speeding it up. The level of exponentiation
depends on the level of noise in the decision-making problem, rather than the
estimation problem. We establish such noise levels for linear and tabular MDPs
as examples. Second, we provide new analyses of FQI and Bellman residual
minimization to establish the correct pointwise convergence guarantees. As
specific cases, our results imply $O(1/n)$ regret rates in linear cases and
$\exp(-\Omega(n))$ regret rates in tabular cases."
['stat.ML'],Decision Machines: Interpreting Decision Tree as a Model Combination Method,"Based on decision trees, it is efficient to handle tabular data. Conventional
decision tree growth methods often result in suboptimal trees because of their
greedy nature. Their inherent structure limits the options of hardware to
implement decision trees in parallel. Here is a compact representation of
binary decision trees to overcome these deficiencies. We explicitly formulate
the dependence of prediction on binary tests for binary decision trees and
construct a function to guide the input sample from the root to the appropriate
leaf node. And based on this formulation we introduce a new interpretation of
binary decision trees. Then we approximate this formulation via continuous
functions. Finally, we interpret the decision tree as a model combination
method. And we propose the selection-prediction scheme to unify a few learning
methods."
['stat.ML'],Conditional Generative Models for Counterfactual Explanations,"Counterfactual instances offer human-interpretable insight into the local
behaviour of machine learning models. We propose a general framework to
generate sparse, in-distribution counterfactual model explanations which match
a desired target prediction with a conditional generative model, allowing
batches of counterfactual instances to be generated with a single forward pass.
The method is flexible with respect to the type of generative model used as
well as the task of the underlying predictive model. This allows
straightforward application of the framework to different modalities such as
images, time series or tabular data as well as generative model paradigms such
as GANs or autoencoders and predictive tasks like classification or regression.
We illustrate the effectiveness of our method on image (CelebA), time series
(ECG) and mixed-type tabular (Adult Census) data."
['stat.ML'],DNN2LR: Interpretation-inspired Feature Crossing for Real-world Tabular Data,"For sake of reliability, it is necessary for models in real-world
applications to be both powerful and globally interpretable. Simple
classifiers, e.g., Logistic Regression (LR), are globally interpretable, but
not powerful enough to model complex nonlinear interactions among features in
tabular data. Meanwhile, Deep Neural Networks (DNNs) have shown great
effectiveness for modeling tabular data, but is not globally interpretable. In
this work, we find local piece-wise interpretations in DNN of a specific
feature are usually inconsistent in different samples, which is caused by
feature interactions in the hidden layers. Accordingly, we can design an
automatic feature crossing method to find feature interactions in DNN, and use
them as cross features in LR. We give definition of the interpretation
inconsistency in DNN, based on which a novel feature crossing method called
DNN2LR is proposed. Extensive experiments have been conducted on four public
datasets and two real-world datasets. The final model, i.e., a LR model
empowered with cross features, generated by DNN2LR can outperform the complex
DNN model, as well as several state-of-the-art feature crossing methods. The
experimental results strongly verify the effectiveness and efficiency of
DNN2LR, especially on real-world datasets with large numbers of feature fields."
['stat.ML'],Matrix Completion with Quantified Uncertainty through Low Rank Gaussian Copula,"Modern large scale datasets are often plagued with missing entries. For
tabular data with missing values, a flurry of imputation algorithms solve for a
complete matrix which minimizes some penalized reconstruction error. However,
almost none of them can estimate the uncertainty of its imputations. This paper
proposes a probabilistic and scalable framework for missing value imputation
with quantified uncertainty. Our model, the Low Rank Gaussian Copula, augments
a standard probabilistic model, Probabilistic Principal Component Analysis,
with marginal transformations for each column that allow the model to better
match the distribution of the data. It naturally handles Boolean, ordinal, and
real-valued observations and quantifies the uncertainty in each imputation. The
time required to fit the model scales linearly with the number of rows and the
number of columns in the dataset. Empirical results show the method yields
state-of-the-art imputation accuracy across a wide range of data types,
including those with high rank. Our uncertainty measure predicts imputation
error well: entries with lower uncertainty do have lower imputation error (on
average). Moreover, for real-valued data, the resulting confidence intervals
are well-calibrated."
['stat.ML'],A Provably Efficient Algorithm for Linear Markov Decision Process with Low Switching Cost,"Many real-world applications, such as those in medical domains,
recommendation systems, etc, can be formulated as large state space
reinforcement learning problems with only a small budget of the number of
policy changes, i.e., low switching cost. This paper focuses on the linear
Markov Decision Process (MDP) recently studied in [Yang et al 2019, Jin et al
2020] where the linear function approximation is used for generalization on the
large state space. We present the first algorithm for linear MDP with a low
switching cost. Our algorithm achieves an
$\widetilde{O}\left(\sqrt{d^3H^4K}\right)$ regret bound with a near-optimal
$O\left(d H\log K\right)$ global switching cost where $d$ is the feature
dimension, $H$ is the planning horizon and $K$ is the number of episodes the
agent plays. Our regret bound matches the best existing polynomial algorithm by
[Jin et al 2020] and our switching cost is exponentially smaller than theirs.
When specialized to tabular MDP, our switching cost bound improves those in
[Bai et al 2019, Zhang et al 20020]. We complement our positive result with an
$\Omega\left(dH/\log d\right)$ global switching cost lower bound for any
no-regret algorithm."
"['stat.ML', 'stat.TH']",On Function Approximation in Reinforcement Learning: Optimism in the Face of Large State Spaces,"The classical theory of reinforcement learning (RL) has focused on tabular
and linear representations of value functions. Further progress hinges on
combining RL with modern function approximators such as kernel functions and
deep neural networks, and indeed there have been many empirical successes that
have exploited such combinations in large-scale applications. There are
profound challenges, however, in developing a theory to support this
enterprise, most notably the need to take into consideration the
exploration-exploitation tradeoff at the core of RL in conjunction with the
computational and statistical tradeoffs that arise in modern
function-approximation-based learning systems. We approach these challenges by
studying an optimistic modification of the least-squares value iteration
algorithm, in the context of the action-value function
  represented by a kernel function or an overparameterized neural network. We
establish both polynomial runtime complexity and polynomial sample complexity
for this algorithm, without additional assumptions on the data-generating
model. In particular, we prove that the algorithm incurs an
$\tilde{\mathcal{O}}(\delta_{\mathcal{F}} H^2 \sqrt{T})$ regret, where
$\delta_{\mathcal{F}}$ characterizes the intrinsic complexity of the function
class $\mathcal{F}$, $H$ is the length of each episode, and $T$ is the total
number of episodes. Our regret bounds are independent of the number of states,
a result which exhibits clearly the benefit of function approximation in RL."
['stat.ML'],Unsupervised Functional Data Analysis via Nonlinear Dimension Reduction,"In recent years, manifold methods have moved into focus as tools for
dimension reduction. Assuming that the high-dimensional data actually lie on or
close to a low-dimensional nonlinear manifold, these methods have shown
convincing results in several settings. This manifold assumption is often
reasonable for functional data, i.e., data representing continuously observed
functions, as well. However, the performance of manifold methods recently
proposed for tabular or image data has not been systematically assessed in the
case of functional data yet. Moreover, it is unclear how to evaluate the
quality of learned embeddings that do not yield invertible mappings, since the
reconstruction error cannot be used as a performance measure for such
representations. In this work, we describe and investigate the specific
challenges for nonlinear dimension reduction posed by the functional data
setting. The contributions of the paper are three-fold: First of all, we define
a theoretical framework which allows to systematically assess specific
challenges that arise in the functional data context, transfer several
nonlinear dimension reduction methods for tabular and image data to functional
data, and show that manifold methods can be used successfully in this setting.
Secondly, we subject performance assessment and tuning strategies to a thorough
and systematic evaluation based on several different functional data settings
and point out some previously undescribed weaknesses and pitfalls which can
jeopardize reliable judgment of embedding quality. Thirdly, we propose a
nuanced approach to make trustworthy decisions for or against competing
nonconforming embeddings more objectively."
['stat.ML'],When stakes are high: balancing accuracy and transparency with Model-Agnostic Interpretable Data-driven suRRogates,"Highly regulated industries, like banking and insurance, ask for transparent
decision-making algorithms. At the same time, competitive markets are pushing
for the use of complex black box models. We therefore present a procedure to
develop a Model-Agnostic Interpretable Data-driven suRRogate (maidrr) suited
for structured tabular data. Knowledge is extracted from a black box via
partial dependence effects. These are used to perform smart feature engineering
by grouping variable values. This results in a segmentation of the feature
space with automatic variable selection. A transparent generalized linear model
(GLM) is fit to the features in categorical format and their relevant
interactions. We demonstrate our R package maidrr with a case study on general
insurance claim frequency modeling for six publicly available datasets. Our
maidrr GLM closely approximates a gradient boosting machine (GBM) black box and
outperforms both a linear and tree surrogate as benchmarks."
['stat.ML'],TabNet: Attentive Interpretable Tabular Learning,"We propose a novel high-performance and interpretable canonical deep tabular
data learning architecture, TabNet. TabNet uses sequential attention to choose
which features to reason from at each decision step, enabling interpretability
and more efficient learning as the learning capacity is used for the most
salient features. We demonstrate that TabNet outperforms other neural network
and decision tree variants on a wide range of non-performance-saturated tabular
datasets and yields interpretable feature attributions plus insights into the
global model behavior. Finally, for the first time to our knowledge, we
demonstrate self-supervised learning for tabular data, significantly improving
performance with unsupervised representation learning when unlabeled data is
abundant."
['stat.ML'],Joint Policy Search for Multi-agent Collaboration with Imperfect Information,"To learn good joint policies for multi-agent collaboration with imperfect
information remains a fundamental challenge. While for two-player zero-sum
games, coordinate-ascent approaches (optimizing one agent's policy at a time,
e.g., self-play) work with guarantees, in multi-agent cooperative setting they
often converge to sub-optimal Nash equilibrium. On the other hand, directly
modeling joint policy changes in imperfect information game is nontrivial due
to complicated interplay of policies (e.g., upstream updates affect downstream
state reachability). In this paper, we show global changes of game values can
be decomposed to policy changes localized at each information set, with a novel
term named policy-change density. Based on this, we propose Joint Policy
Search(JPS) that iteratively improves joint policies of collaborative agents in
imperfect information games, without re-evaluating the entire game. On
multi-agent collaborative tabular games, JPS is proven to never worsen
performance and can improve solutions provided by unilateral approaches (e.g,
CFR), outperforming algorithms designed for collaborative policy learning (e.g.
BAD). Furthermore, for real-world games, JPS has an online form that naturally
links with gradient updates. We test it to Contract Bridge, a 4-player
imperfect-information game where a team of $2$ collaborates to compete against
the other. In its bidding phase, players bid in turn to find a good contract
through a limited information channel. Based on a strong baseline agent that
bids competitive bridge purely through domain-agnostic self-play, JPS improves
collaboration of team players and outperforms WBridge5, a championship-winning
software, by $+0.63$ IMPs (International Matching Points) per board over 1k
games, substantially better than previous SoTA ($+0.41$ IMPs/b) under
Double-Dummy evaluation."
['stat.ML'],Learning Interpretable Concept-Based Models with Human Feedback,"Machine learning models that first learn a representation of a domain in
terms of human-understandable concepts, then use it to make predictions, have
been proposed to facilitate interpretation and interaction with models trained
on high-dimensional data. However these methods have important limitations: the
way they define concepts are not inherently interpretable, and they assume that
concept labels either exist for individual instances or can easily be acquired
from users. These limitations are particularly acute for high-dimensional
tabular features. We propose an approach for learning a set of transparent
concept definitions in high-dimensional tabular data that relies on users
labeling concept features instead of individual instances. Our method produces
concepts that both align with users' intuitive sense of what a concept means,
and facilitate prediction of the downstream label by a transparent machine
learning model. This ensures that the full model is transparent and intuitive,
and as predictive as possible given this constraint. We demonstrate with
simulated user feedback on real prediction problems, including one in a
clinical domain, that this kind of direct feedback is much more efficient at
learning solutions that align with ground truth concept definitions than
alternative transparent approaches that rely on labeling instances or other
existing interaction mechanisms, while maintaining similar predictive
performance."
['stat.ML'],Provably Efficient Exploration for Reinforcement Learning Using Unsupervised Learning,"Motivated by the prevailing paradigm of using unsupervised learning for
efficient exploration in reinforcement learning (RL) problems
[tang2017exploration,bellemare2016unifying], we investigate when this paradigm
is provably efficient. We study episodic Markov decision processes with rich
observations generated from a small number of latent states. We present a
general algorithmic framework that is built upon two components: an
unsupervised learning algorithm and a no-regret tabular RL algorithm.
Theoretically, we prove that as long as the unsupervised learning algorithm
enjoys a polynomial sample complexity guarantee, we can find a near-optimal
policy with sample complexity polynomial in the number of latent states, which
is significantly smaller than the number of observations. Empirically, we
instantiate our framework on a class of hard exploration problems to
demonstrate the practicality of our theory."
['stat.ML'],GradientDICE: Rethinking Generalized Offline Estimation of Stationary Values,"We present GradientDICE for estimating the density ratio between the state
distribution of the target policy and the sampling distribution in off-policy
reinforcement learning. GradientDICE fixes several problems of GenDICE (Zhang
et al., 2020), the state-of-the-art for estimating such density ratios. Namely,
the optimization problem in GenDICE is not a convex-concave saddle-point
problem once nonlinearity in optimization variable parameterization is
introduced to ensure positivity, so any primal-dual algorithm is not guaranteed
to converge or find the desired solution. However, such nonlinearity is
essential to ensure the consistency of GenDICE even with a tabular
representation. This is a fundamental contradiction, resulting from GenDICE's
original formulation of the optimization problem. In GradientDICE, we optimize
a different objective from GenDICE by using the Perron-Frobenius theorem and
eliminating GenDICE's use of divergence. Consequently, nonlinearity in
parameterization is not necessary for GradientDICE, which is provably
convergent under linear function approximation."
['stat.ML'],Group-Connected Multilayer Perceptron Networks,"Despite the success of deep learning in domains such as image, voice, and
graphs, there has been little progress in deep representation learning for
domains without a known structure between features. For instance, a tabular
dataset of different demographic and clinical factors where the feature
interactions are not given as a prior. In this paper, we propose
Group-Connected Multilayer Perceptron (GMLP) networks to enable deep
representation learning in these domains. GMLP is based on the idea of learning
expressive feature combinations (groups) and exploiting them to reduce the
network complexity by defining local group-wise operations. During the training
phase, GMLP learns a sparse feature grouping matrix using temperature annealing
softmax with an added entropy loss term to encourage the sparsity. Furthermore,
an architecture is suggested which resembles binary trees, where group-wise
operations are followed by pooling operations to combine information; reducing
the number of groups as the network grows in depth. To evaluate the proposed
method, we conducted experiments on different real-world datasets covering
various application areas. Additionally, we provide visualizations on MNIST and
synthesized data. According to the results, GMLP is able to successfully learn
and exploit expressive feature combinations and achieve state-of-the-art
classification performance on different datasets."
['stat.ML'],Active Reinforcement Learning: Observing Rewards at a Cost,"Active reinforcement learning (ARL) is a variant on reinforcement learning
where the agent does not observe the reward unless it chooses to pay a query
cost c > 0. The central question of ARL is how to quantify the long-term value
of reward information. Even in multi-armed bandits, computing the value of this
information is intractable and we have to rely on heuristics. We propose and
evaluate several heuristic approaches for ARL in multi-armed bandits and
(tabular) Markov decision processes, and discuss and illustrate some
challenging aspects of the ARL problem."
['stat.ML'],Sampling Techniques in Bayesian Target Encoding,"Target encoding is an effective encoding technique of categorical variables
and is often used in machine learning systems for processing tabular data sets
with mixed numeric and categorical variables. Recently en enhanced version of
this encoding technique was proposed by using conjugate Bayesian modeling. This
paper presents a further development of Bayesian encoding method by using
sampling techniques, which helps in extracting information from intra-category
distribution of the target variable, improves generalization and reduces target
leakage."
